experiment_id,claim_id,support_level,evidence_path,caveat,status,notes
exp1,none,not supported,local verification pending,Historical/exploratory; no current C1-C12 support mapped.,local verification pending,Keep as historical context until local artifacts and any thread digest are reviewed.
exp2,none,not supported,local verification pending,Historical/exploratory; no current C1-C12 support mapped.,local verification pending,Keep as historical context until local artifacts and any thread digest are reviewed.
exp3,none,not supported,local verification pending,Historical/exploratory; no current C1-C12 support mapped.,local verification pending,Keep as historical context until local artifacts and any thread digest are reviewed.
exp4,none,not supported,local verification pending,Historical/exploratory; no current C1-C12 support mapped.,local verification pending,Keep as historical context until local artifacts and any thread digest are reviewed.
exp5,none,not supported,local verification pending,Historical precursor; low-accuracy/context-confusion artifacts are motivation rather than current manuscript evidence.,local verification pending,Use only as historical motivation unless re-reviewed.
exp6,none,not supported,local verification pending,Historical route-audit precursor; current manuscript claims rely on later experiments.,local verification pending,Use only as historical motivation unless re-reviewed.
exp7,C1,diagnostic,experiments/experiment7_route_field_diagnostics/analysis/exp7.unsaturated/exp7_summary.csv,No-structural-plasticity row is precursor diagnostic; central evidence is Exp8/Exp11/Exp12/Exp13.,promising,Diagnostic support for structural route-field necessity in an early controlled setting.
exp7,C3,diagnostic,experiments/experiment7_route_field_diagnostics/analysis/exp7.unsaturated/exp7_summary.csv,Route fields are scripted/diagnostic; not self-organized acquisition.,promising,No-recurrence has transition accuracy 1.0 and composition 0.0 in the local summary.
exp7,C4,diagnostic,experiments/experiment7_route_field_diagnostics/analysis/exp7.unsaturated/exp7_summary.csv,Route-table/composition split is diagnostic only.,promising,Supports the storage/execution dissociation in an early route-field test.
exp8,C1,supporting,experiments/experiment8_self_organizing_route_acquisition/analysis/exp8/exp8_summary.csv,Internal symbolic ablation only; external baselines missing.,strong,No-structural-plasticity has low transition/route-table and composition accuracy.
exp8,C3,supporting,experiments/experiment8_self_organizing_route_acquisition/analysis/exp8/exp8_summary.csv,Internal symbolic ablation only; recurrence itself is not novel.,strong,No-recurrence retains route-table accuracy but composition is 0.0.
exp8,C4,supporting,experiments/experiment8_self_organizing_route_acquisition/analysis/exp8/exp8_summary.csv,Internal symbolic ablation only.,strong,Supports route-table/composition dissociation.
exp9,none,diagnostic,local verification pending,Exp9 stress/noise artifacts were not mapped to a current C1-C12 claim in this cleanup pass.,local verification pending,Do not use as active claim support until reviewed.
exp10,C8,supporting,experiments/experiment10_adaptive_reversal/analysis/exp10/exp10_adaptation_thresholds.csv,Reversal task is not non-destructive memory; consolidation interpretation remains preliminary.,preliminary,Strong consolidation preserves old rule A while blocking new rule B in the local summary.
exp11,C1,primary,experiments/experiment11_context_memory/analysis/exp11/exp11_memory_indices.csv,Internal ablation; external baselines and intervals missing.,strong,No-structural-plasticity is near zero in retention/acquisition.
exp11,C2,primary,experiments/experiment11_context_memory/analysis/exp11/exp11_memory_indices.csv,Oracle world context is supplied; not latent-world inference.,strong,Full/world-gated variants retain A and acquire B; no-world-context loses A retention.
exp11,C3,primary,experiments/experiment11_context_memory/analysis/exp11/exp11_memory_indices.csv,Benchmark-specific recurrence ablation.,strong,No-recurrence keeps route retention/acquisition at 1.0 while composition retention/acquisition is 0.0.
exp11,C4,primary,experiments/experiment11_context_memory/analysis/exp11/exp11_memory_indices.csv,Does not imply abstract reasoning.,strong,Route-table memory and composed execution separate under no-recurrence.
exp11,C8,supporting,experiments/experiment11_context_memory/analysis/exp11/exp11_memory_indices.csv,Easy clean regime; does not establish consolidation dose-response.,preliminary,No-consolidation remains perfect in Exp11 clean setting.
exp11,C10,diagnostic,experiments/experiment11_context_memory/analysis/exp11/exp11_context_bleed_world_margin.png,Diagnostic margin/wrong-world activation only; not failure-threshold evidence.,preliminary,C10 failure evidence is Exp13 adversarial context corruption.
exp12,C1,primary,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,Internal ablation; external baselines missing.,strong,No-structural-plasticity stays near chance in capacity summaries.
exp12,C2,primary,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,No-world-context can still learn newest world; phrase as interference/retention.,strong,No-world-context declines as world count increases.
exp12,C3,primary,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,External recurrent/non-recurrent baseline comparison pending.,strong,No-recurrence route-table accuracy remains 1.0 while composition is about 0.05-0.06.
exp12,C4,primary,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,Effect sizes and confidence intervals pending.,strong,Machine-readable support for route-table/composition dissociation.
exp12,C5,primary,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,Ceiling result; does not establish fitted capacity law.,strong,Full model remains at 1.0 composition and route-table accuracy through 32 worlds.
exp12,C8,supporting,experiments/experiment12_capacity_generalization/analysis/exp12/consolidation_pressure_summary.csv,Clean/full-capacity setting; dose-response under finite pressure pending.,preliminary,No-consolidation can remain accurate in easier regimes.
exp12,C9,supporting,experiments/experiment12_capacity_generalization/analysis/exp12/heldout_generalization_summary.csv,Held-out execution is over learned primitives; not unseen primitive inference.,needs metric cleanup,Supports seen-primitive multistep execution but not broad abstract generalization.
exp12,C10,diagnostic,experiments/experiment12_capacity_generalization/analysis/exp12/context_bleed_summary.csv,Thread judged context bleed/dropout flat or inconclusive; not failure evidence.,preliminary,Use as supplementary diagnostic only.
exp13,C1,supporting,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,Validation report does not mention no-structural-plasticity; cite capacity table only.,strong,No-structural-plasticity rows are near chance in route-table and composition.
exp13,C2,supporting,experiments/experiment13_breaking_point/analysis/validation_report.md,No-context-binding definition remains caveated; use no-world-context claims carefully.,strong,Validation report includes no-world-context low value; detailed ablation cleanup pending.
exp13,C3,primary,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,External recurrent baseline comparison pending.,strong,Exact-capacity no-recurrence has route-table 1.0 and low composition at 32 worlds length 12.
exp13,C4,primary,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,Effect sizes and publication figure pending.,strong,Replicates route-table/composition dissociation under boundary pressure.
exp13,C6,primary,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,Observed aggregate curve only; fitted capacity law pending.,promising,Global budget curve rises from low-budget degradation to exact/surplus recovery.
exp13,C7,preliminary,docs/experiments/exp13_local_vs_global_budget_comparison.md,Docs-only aggregate comparison; paired seed-level confidence intervals pending.,preliminary,Local budget appears more damaging than global budget for long-route composition.
exp13,C8,supporting,experiments/experiment13_breaking_point/analysis/validation_report.md,Validation reports only a small consolidation delta; dose-response pending.,preliminary,Retention heatmaps and validation suggest a stability-plasticity bias but not necessity.
exp13,C9,primary,experiments/experiment13_breaking_point/analysis/true_holdout_generalization_summary.csv,Route-table seen/unseen split pending.,needs metric cleanup,Supports seen primitive composition vs unseen primitive failure boundary.
exp13,C10,primary,experiments/experiment13_breaking_point/analysis/context_corruption_summary.csv,Adversarial threshold only; stochastic/graded corruption rerun pending.,promising,Full model collapses when adversarial context dominates.
exp13,C11,primary,experiments/experiment13_breaking_point/analysis/continuous_frontend_bridge_summary.csv,Preliminary noisy decoding bridge only; not end-to-end perception.,preliminary,Composition degrades as continuous input noise rises.
manuscript,C12,planned,local verification pending,Novelty assessment artifact `Pasted text.txt` is missing locally; baseline requirements are planning only.,local verification pending,Import novelty assessment and implement external baselines before claiming submission readiness.
exp13.2,C12,deferred,docs/manuscript/BASELINE_REQUIREMENTS.md,Exp13.2 is intentionally excluded from the current P0/P1 cleanup pass.,deferred,Complete a separate Exp13.2 analysis/import/alignment pass before using baseline artifacts to update claims.
exp14,C13,primary,experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv,Symbolic transition-cue inference only; oracle context-gated lookup remains an upper bound.,promising,CIRM latent selector reaches clean hard-slice selection/composition at 1.0000 and remains about 0.9416 at highest corruption with eight cues.
